,chat_sum,pers_sum,chat_scaf,pers_scaf_resp,codeTotal,followUpCodeTotal,retention_change,mentalEffort,perceivedLearning1,easeOfConversating1,adaptingToNeeds1,evt_mean,confidence
chat_sum,1.0,0.856,0.983,0.719,0.248,0.293,0.09,0.286,0.147,-0.081,0.035,-0.005,-0.124
pers_sum,0.856,1.0,0.854,0.884,0.304,0.382,0.113,0.36,0.289,0.154,0.238,0.162,-0.049
chat_scaf,0.983,0.854,1.0,0.736,0.274,0.318,0.092,0.306,0.161,-0.077,0.033,0.003,-0.101
pers_scaf_resp,0.719,0.884,0.736,1.0,0.313,0.313,0.04,0.431,0.281,0.11,0.217,0.24,0.012
codeTotal,0.248,0.304,0.274,0.313,1.0,0.426,-0.426,0.088,-0.129,-0.045,-0.147,0.041,0.307
followUpCodeTotal,0.293,0.382,0.318,0.313,0.426,1.0,0.637,-0.0,0.148,0.085,0.077,0.205,0.311
retention_change,0.09,0.113,0.092,0.04,-0.426,0.637,1.0,0.007,0.318,0.104,0.284,0.175,0.084
mentalEffort,0.286,0.36,0.306,0.431,0.088,-0.0,0.007,1.0,0.4,-0.1,0.213,0.188,-0.035
perceivedLearning1,0.147,0.289,0.161,0.281,-0.129,0.148,0.318,0.4,1.0,0.504,0.669,0.22,-0.128
easeOfConversating1,-0.081,0.154,-0.077,0.11,-0.045,0.085,0.104,-0.1,0.504,1.0,0.707,-0.007,-0.057
adaptingToNeeds1,0.035,0.238,0.033,0.217,-0.147,0.077,0.284,0.213,0.669,0.707,1.0,0.114,-0.096
evt_mean,-0.005,0.162,0.003,0.24,0.041,0.205,0.175,0.188,0.22,-0.007,0.114,1.0,0.469
confidence,-0.124,-0.049,-0.101,0.012,0.307,0.311,0.084,-0.035,-0.128,-0.057,-0.096,0.469,1.0
