label,t,p,d,ctrl_M,intr_M,diff,ci_low,ci_high,test
Pretest balance,1.2977913050823535,0.19913022515309445,0.30189742074838466,2.3142857142857145,2.6097560975609757,0.2954703832752612,-0.15956989917060527,0.7505106657211277,balance
Posttest balance,0.05596511425806579,0.9555532034764199,0.013038439984954932,3.257142857142857,3.268292682926829,0.011149825783971945,-0.3872622048375724,0.4095618564055163,posttest_balance
learning_gain,-1.1864030678545605,0.2394928874771955,-0.27399398962418015,0.9428571428571428,0.6585365853658537,-0.28432055749128915,-0.7623248891832647,0.1936837742006864,H2
H3: Subjektiv læring,1.2539966036962114,0.2138834135994857,0.2885121272522045,2.8857142857142857,3.3658536585365852,0.48013937282229957,-0.28308088070824944,1.2433596263528486,secondary
H4a: Nem samtale,-0.7833587569951215,0.4359247132911555,-0.17954596934135308,4.314285714285714,4.024390243902439,-0.289895470383275,-1.02731110570867,0.44752016494212,secondary
H4b: Tilpasning,0.22573414576638176,0.822053124344393,0.05201164873208725,3.4285714285714284,3.5121951219512195,0.08362369337979114,-0.6549655488866234,0.8222129356462057,secondary
H5: Mental indsats,2.5717912841004376,0.012129522744488072,0.5893472491304281,4.314285714285714,5.2682926829268295,0.9540069686411154,0.21483798102077434,1.6931759562614566,secondary
Fritekst total (manuel),2.322018864407666,0.023212266616535922,0.5369988860508605,3.7714285714285714,4.682926829268292,0.911498257839721,0.12828711112803926,1.6947094045514028,fritekst_total
A1 energibalance,2.308857515999616,0.02381578507664967,0.5312664726475504,0.8571428571428571,1.2682926829268293,0.4111498257839722,0.056182718326896586,0.7661169332410478,fritekst_codeA1
A2 kompensation,0.5236386422307522,0.6021272804069981,0.12043118951590685,1.1142857142857143,1.2195121951219512,0.10522648083623687,-0.29531929316134026,0.5057722548338139,fritekst_codeA2
A3 konsekvens,1.7093274129500071,0.09158778983267991,0.3902887505557635,0.5428571428571428,0.8292682926829268,0.286411149825784,-0.04746390989173033,0.6202862095432983,fritekst_codeA3
B1 løsning,0.570579689704143,0.5701002610405822,0.13164475104199297,1.2571428571428571,1.3658536585365855,0.10871080139372835,-0.27124127471639337,0.48866287750385007,fritekst_codeB1
Follow-up total (t-test),2.206575019115301,0.033593776001989005,0.6753185448156459,4.190476190476191,5.454545454545454,1.2640692640692635,0.1035511566497953,2.4245873714887316,fu_ttest
FU: mixed ANOVA time effect,,0.20610098943228644,,,,,,,fu_mixed_time
FU: mixed ANOVA group×time,,0.4437908374477885,,,,,,,fu_mixed_interaction
retention_change (intr vs ctrl),0.7662914964160218,0.44868197460709064,0.23481371104238818,0.14285714285714285,0.5909090909090909,0.4480519480519481,-0.7392996387729698,1.6354035348768658,fu_retention_change
FU: ANCOVA group effect,,0.10232030786884093,,,,1.0865978304391153,,,fu_ancova
